water,energy,oil,carbon,nuclear,climate,gas,air,power,waste
brain,,science,human,universe,light,things,make,system,years
people,world,percent,years,,money,countries,change,dollars,today
cancer,health,patients,cells,disease,brain,medical,blood,body,care
music,play,sound,song,hear,film,voice,sounds,dance,language
women,children,school,men,kids,family,woman,young,girls,child
data,information,internet,computer,technology,online,machine,digital,phone,video
food,eat,plant,bees,plants,feed,farmers,bread,agriculture,eating
war,people,political,country,government,power,democracy,rights,states,violence
people,human,love,social,feel,god,life,compassion,happiness,good
city,design,building,cities,art,space,buildings,architecture,project,york
robot,robots,car,fly,legs,arm,body,feet,flying,speed
water,earth,species,ocean,planet,years,animals,fish,sea,ice
virus,flu,vaccine,malaria,hiv,la,poem,infected,disease,poetry
,people,time,things,make,thing,world,years,back,work
