people,world,percent,countries,country,global,years,africa,change,social
,people,time,things,make,world,thing,years,back,work
women,men,life,people,family,woman,love,story,day,man
city,design,art,building,cities,space,project,architecture,buildings,york
game,play,games,video,playing,players,player,humor,comedy,yorker
war,military,afghanistan,peace,violence,refugees,security,conflict,east,weapons
data,internet,information,media,online,phone,digital,web,google,technology
kids,school,children,students,education,teachers,learning,schools,child,teacher
universe,earth,space,mars,light,planet,science,stars,planets,physics
brain,computer,human,machine,technology,information,brains,data,memory,neurons
laughter,flag,mr,script,prime,blah,writing,flags,paper,horse
energy,water,car,oil,cars,nuclear,climate,power,percent,carbon
cancer,health,disease,patients,medical,care,patient,blood,heart,doctors
food,eat,plant,plants,bees,farmers,feed,agriculture,bread,eating
music,sound,,song,play,hear,sounds,la,voice,playing
cells,dna,cell,human,species,genes,body,genetic,gene,bacteria
money,company,business,trust,companies,market,buy,dollars,product,financial
water,ocean,species,fish,animals,sea,ice,planet,years,forest
arm,legs,poem,poetry,spinal,cord,body,wheelchair,disability,pain
people,human,god,love,compassion,happiness,language,feel,moral,social
robot,robots,fly,ants,flying,flight,ant,airplane,feet,colony
