kids,school,children,students,education,teachers,learning,schools,teacher,teach
,people,things,time,make,years,world,thing,lot,kind
virus,hiv,disease,malaria,flu,vaccine,polio,infected,epidemic,vaccines
cancer,health,patients,disease,medical,care,patient,blood,heart,doctors
cells,dna,cell,genes,gene,genome,genetic,bacteria,biology,body
trust,reputation,lakota,airbnb,collaborative,uber,institutional,photos,sioux,bageye
ice,feet,pole,mountain,light,swim,snow,deep,slime,glacier
music,sound,play,hear,sounds,song,voice,playing,listening,piano
ants,ant,colony,gang,nest,workers,colonies,milo,introverts,interactions
bees,bee,pollen,glamour,chinese,flower,glamorous,flowers,nectar,king
,people,life,time,day,years,love,back,story,feel
penguins,legs,knee,abed,disabled,marathon,penguin,athletes,running,goliath
data,internet,information,computer,technology,phone,online,digital,machine,computers
flag,camel,vulnerability,paper,shame,flags,tapirs,camels,tapir,nr
people,political,world,country,war,power,government,democracy,states,united
happiness,love,moral,choice,emotions,happy,choices,psychology,dog,emotion
earth,universe,space,planet,mars,light,sun,planets,stars,life
god,compassion,religion,religious,religions,faith,gods,bible,church,tribes
language,english,words,word,languages,books,dictionary,writing,spelling,read
animals,species,humans,animal,dinosaurs,chimpanzees,monkeys,africa,extinct,ancestors
,poem,song,poetry,poems,fake,lie,regret,laughing,lying
nuclear,hum,gras,foie,crows,weapons,bomb,geese,titan,bombs
africa,african,nigeria,continent,africans,ghana,lagos,nigerian,south,knowledge
bread,dance,dolphins,whistle,whistling,yeah,dough,brand,dolphin,baker
brain,robot,robots,brains,neurons,body,memory,cells,animal,arm
rome,prize,nobel,pantheon,whitopia,sanitary,trailer,ig,duck,internship
war,refugees,military,soldiers,refugee,afghanistan,force,weapons,iraq,camp
howard,sauce,comedy,spaghetti,mustard,sneakers,movember,mustache,diet,tomato
women,men,girls,sex,woman,black,gender,female,sexual,gay
art,design,film,sort,artist,image,museum,designers,made,object
city,cities,building,buildings,architecture,design,built,public,space,urban
energy,car,cars,oil,power,nuclear,solar,electricity,fuel,gas
people,percent,world,money,countries,dollars,country,business,years,year
law,prison,police,legal,crime,criminal,justice,court,laws,slavery
game,games,play,video,players,playing,player,cricket,baseball,concussion
universe,theory,physics,quantum,science,particles,mathematics,consciousness,mathematical,higgs
water,food,ocean,fish,species,animals,sea,planet,forest,plants
puzzles,wheelchair,horse,arguments,puzzle,intent,bow,argument,gwen,marker
la,origami,gabby,li,janitors,marries,fold,squared,flap,square
passwords,password,em,ems,birch,fir,oring,eurozone,toms,lolcats
